Grupo 1 ; Tiempo: 0.0120000000 ; Tiempo normalizado: 0.0000000794
Grupo 2 ; Tiempo: 0.0190000000 ; Tiempo normalizado: 0.0000001390
Grupo 3 ; Tiempo: 0.0180000000 ; Tiempo normalizado: 0.0000001170
Grupo 4 ; Tiempo: 0.0190000000 ; Tiempo normalizado: 0.0000001247
Grupo 5 ; Tiempo: 0.0150000000 ; Tiempo normalizado: 0.0000001028
Grupo 6 ; Tiempo: 0.0160000000 ; Tiempo normalizado: 0.0000001165
Grupo 7 ; Tiempo: 0.0160000000 ; Tiempo normalizado: 0.0000000978
Grupo 8 ; Tiempo: 0.0160000000 ; Tiempo normalizado: 0.0000001201
Grupo 9 ; Tiempo: 0.0180000000 ; Tiempo normalizado: 0.0000001100
Grupo 10 ; Tiempo: 0.0090000000 ; Tiempo normalizado: 0.0000000570
Grupo 11 ; Tiempo: 0.0180000000 ; Tiempo normalizado: 0.0000001078
Grupo 12 ; Tiempo: 0.0170000000 ; Tiempo normalizado: 0.0000001163
Grupo 13 ; Tiempo: 0.0160000000 ; Tiempo normalizado: 0.0000001121
Grupo 14 ; Tiempo: 0.0130000000 ; Tiempo normalizado: 0.0000000840
Grupo 15 ; Tiempo: 0.0130000000 ; Tiempo normalizado: 0.0000000799
Grupo 16 ; Tiempo: 0.0170000000 ; Tiempo normalizado: 0.0000001186
